Query_ID	Dec_ID	Rank	Score
0	1r5y	1	1.0
0	1s38	2	0.272203947368421
0	4cr9	3	0.22352941176470587
0	2v00	4	0.2224439775910364
0	3kr8	5	0.15601525458668317
0	4j28	6	0.1380952380952381
0	2xj7	1	1.0
0	2w66	2	0.20066889632107024
0	3gv9	3	0.11360398860398861
0	3ebp	4	0.11034729119835501
0	3ejr	5	0.10932377108847696
0	1q8t	6	0.10196979879439558
0	2hb1	1	1.0
0	2qbq	2	0.21083105474914532
0	2qbr	3	0.20051776564087087
0	2qbp	4	0.15266154434038393
0	3gv9	5	0.09953703703703702
0	3u8n	6	0.09391205560010693
0	3dx2	1	1.0
0	3dx1	2	0.10888501742160278
0	3f3d	3	0.07451923076923078
0	3kgp	4	0.07287234042553191
0	5dwr	5	0.06054920729318588
0	3f3e	6	0.0590909090909091
0	2j7h	1	1.0
0	2w66	2	0.19481981981981983
0	3fv2	3	0.10201688555347091
0	3d4z	4	0.10088028169014085
0	3dx1	5	0.09954407294832827
0	1ps3	6	0.09304511278195488
0	3lka	1	1.0
0	4jsz	2	0.32457386363636365
0	3ehy	3	0.22690570299265952
0	3nx7	4	0.21155662384072155
0	3ryj	5	0.19426406926406928
0	2weg	6	0.17607973421926912
0	1bcu	1	1.0
0	3ao4	2	0.04554655870445344
0	4cr9	3	0.04220085470085469
0	4ih7	4	0.04104872881355932
0	3rsx	5	0.03696876600102407
0	4w9i	6	0.03395713096161024
0	1ps3	1	1.0
0	2j78	2	0.1600284495021337
0	3d4z	3	0.14794303797468356
0	3syr	4	0.13747954173486088
0	1nc3	5	0.11541053993189486
0	2cet	6	0.11433330248912743
0	2j78	1	1.0
0	1ps3	2	0.1600284495021337
0	3d4z	3	0.1495238095238095
0	2w4x	4	0.12102379043036621
0	3syr	5	0.10109447004608295
0	1w4o	6	0.09973445798188066
0	3d6q	1	1.0
0	3dxg	2	0.4118763724198507
0	1w4o	3	0.3331079558260086
0	3syr	4	0.198893316742893
0	4eky	5	0.17020729021313852
0	1nc1	6	0.16557582021153106
0	3gy4	1	1.0
