Query_ID	Dec_ID	Rank	Score
0	1r5y	1	1.0
0	1s38	2	0.272203947368421
0	4cr9	3	0.22352941176470587
0	2v00	4	0.2224439775910364
0	3kr8	5	0.15601525458668317
0	4j28	6	0.1380952380952381
0	3jvr	7	0.13759400787411172
0	4j21	8	0.1315512927439533
0	3jya	9	0.12499999999999999
0	2xj7	1	1.0
0	2w66	2	0.20066889632107024
0	3gv9	3	0.11360398860398861
0	3ebp	4	0.11034729119835501
0	3ejr	5	0.10932377108847696
0	1q8t	6	0.10196979879439558
0	3g2n	7	0.09630545548296052
0	3mss	8	0.09189895040334922
0	2c3i	9	0.08591934948556255
0	2hb1	1	1.0
0	2qbq	2	0.21083105474914532
0	2qbr	3	0.20051776564087087
0	2qbp	4	0.15266154434038393
0	3gv9	5	0.09953703703703702
0	3u8n	6	0.09391205560010693
0	4eo8	7	0.09315948601662886
0	4jxs	8	0.08802294197031038
0	3dd0	9	0.0844435736677116
0	3dx2	1	1.0
0	3dx1	2	0.10888501742160278
0	3f3d	3	0.07451923076923078
0	3kgp	4	0.07287234042553191
0	5dwr	5	0.06054920729318588
0	3f3e	6	0.0590909090909091
0	1q8t	7	0.057788592485780665
0	3nq9	8	0.05718954248366013
0	3uex	9	0.055148467432950196
0	2j7h	1	1.0
0	2w66	2	0.19481981981981983
0	3fv2	3	0.10201688555347091
0	3d4z	4	0.10088028169014085
0	3dx1	5	0.09954407294832827
0	1ps3	6	0.09304511278195488
0	2j78	7	0.08227611940298507
0	1w4o	8	0.08117110799438991
0	3g2n	9	0.07770749365576951
0	3lka	1	1.0
0	4jsz	2	0.32457386363636365
0	3ehy	3	0.22690570299265952
0	3nx7	4	0.21155662384072155
0	3ryj	5	0.19426406926406928
0	2weg	6	0.17607973421926912
0	3dd0	7	0.16875598086124402
0	4jfs	8	0.15783492434573673
0	2xb8	9	0.154085445094217
0	1bcu	1	1.0
0	3ao4	2	0.04554655870445344
0	4cr9	3	0.04220085470085469
0	4ih7	4	0.04104872881355932
0	3rsx	5	0.03696876600102407
