Query_ID	Dec_ID	Rank	Score
36	1r5y	1	4.999999999999991
438	4cr9	2	1.919191919191918
201	2xj7	1	4.999999999999982
245	2w66	2	1.556603773584902
289	2hb1	1	4.999999999999997
1927	2qbq	2	1.191666666666664
7	3dx2	1	4.999999999999989
148	3dx1	2	1.1754385964912273
145	2j7h	1	5.000000000000001
1556	2w66	2	1.219077568134168
185	3lka	1	5.0000000000000036
319	4jsz	2	2.520833333333333
171	1bcu	1	4.999999999999997
1806	3ao4	2	0.23692307692307685
64	1ps3	1	5.000000000000001
1114	2j78	2	1.2820512820512793
40	2j78	1	4.999999999999987
1736	1ps3	2	1.2441860465116246
368	3d6q	1	4.999999999999956
222	3dxg	2	2.9339855455667183
888	3gy4	1	3.9999999999999942
174	1c5z	2	3.065789473684213
190	2qbp	1	4.999999999999983
810	2qbq	2	3.7666666666666613
99	1c5z	1	5.0
231	3gy4	2	2.321428571428571
1	3g31	1	4.999999999999988
1	3f3d	2	1.5740365111561834
127	3qqs	1	3.9999999999999987
777	4gkm	2	0.865769496204278
4	3f3c	1	5.0
80	3f3e	2	3.233333333333329
151	4agn	1	3.9999999999999973
1569	4agp	2	2.958347107437979
81	2weg	1	4.999999999999998
350	4jsz	2	1.6041666666666663
194	3dxg	1	4.999999999999958
731	1w4o	2	2.941818181818179
518	1gpk	1	5.000000000000012
637	1gpn	2	1.9953623188405687
910	3r88	1	3.999999999999987
1568	4owm	2	2.0129870129870095
35	3f3d	1	4.999999999999986
526	3f3e	2	2.9499999999999966
302	1w4o	1	4.999999999999966
222	3dxg	2	3.2368613230591
109	3dx1	1	4.999999999999999
148	3dx2	2	0.8153846153846146
11	2wvt	1	4.999999999999997
1685	2qnq	2	1.3499999999999999
643	1u1b	1	4.9999999999999805
1716	1o0h	2	2.1228626193232376
1186	4agp	1	4.999999999999925
151	4agn	2	3.2648766823802666
17	2qnq	1	5.000000000000002
1685	2wvt	2	0.9444444444444446
825	3kwa	1	3.0
825	1uto	2	0.15000000000000002
80	3f3e	1	4.999999999999989
80	3f3c	2	2.088235294117647
36	3kgp	1	3.999999999999989
80	3f3e	2	1.9833333333333338
88	3syr	1	4.999999999999964
250	4eky	2	2.629901029510193
726	4agq	1	4.999999999999987
151	4agn	2	3.098807815809248
