Query_ID	Dec_ID	Rank	Score
14	3jya	1	0.02
14	4ih5	2	0.0196078431372549
14	4twp	3	0.010309278350515464
14	2qbp	4	0.009900990099009901
14	4rfm	5	0.00819672131147541
66	4pcs	1	0.023809523809523808
66	3syr	2	0.01639344262295082
66	4bkt	3	0.014925373134328358
66	4w9c	4	0.012658227848101266
66	3ui7	5	0.011764705882352941
66	4w9h	6	0.010752688172043012
66	4twp	7	0.010309278350515464
66	4w9l	8	0.010309278350515464
66	3oe4	9	0.008928571428571428
66	2x00	10	0.0078125
66	3bv9	11	0.006993006993006993
89	1p1n	1	0.029411764705882353
89	3b27	2	0.019230769230769232
89	3pyy	3	0.015625
89	4djv	4	0.014285714285714285
89	4ivc	5	0.011764705882352941
89	4twp	6	0.010309278350515464
89	1nvq	7	0.008264462809917356
90	3twp	1	0.041666666666666664
90	4gkm	2	0.022222222222222223
90	3gbb	3	0.02040816326530612
90	4dli	4	0.015384615384615385
90	3zso	5	0.010869565217391304
90	4twp	6	0.010309278350515464
90	3zsx	7	0.01
116	3f3d	1	0.034482758620689655
116	3b27	2	0.019230769230769232
116	3wtj	3	0.01818181818181818
116	3dd0	4	0.01694915254237288
116	1y6r	5	0.014925373134328358
116	1nc1	6	0.014084507042253521
116	4f2w	7	0.012658227848101266
116	3oe5	8	0.010638297872340425
116	4f3c	9	0.010526315789473684
116	4twp	10	0.010309278350515464
116	3e5a	11	0.009708737864077669
116	1z6e	12	0.008333333333333333
116	3uri	13	0.006944444444444444
124	2cet	1	0.014925373134328358
124	3aru	2	0.014705882352941176
124	4agn	3	0.014705882352941176
124	2qe4	4	0.013513513513513514
124	3b65	5	0.013157894736842105
124	3b68	6	0.012987012987012988
124	4agq	7	0.011627906976744186
124	3b5r	8	0.011494252873563218
124	4agp	9	0.011363636363636364
124	4twp	10	0.010309278350515464
124	3coz	11	0.010309278350515464
124	3prs	12	0.008
177	3kgp	1	0.041666666666666664
177	3ao4	2	0.02
177	3dd0	3	0.01694915254237288
177	1owh	4	0.015384615384615385
177	2wbg	5	0.012987012987012988
177	2qbr	6	0.012048192771084338
177	1yc1	7	0.011494252873563218
177	1sqa	8	0.011235955056179775
177	4twp	9	0.010309278350515464
177	2qbp	10	0.009900990099009901
222	3dxg	1	0.01639344262295082
222	2pog	2	0.01639344262295082
222	3d6q	3	0.015151515151515152
222	1w4o	4	0.015151515151515152
222	3up2	5	0.014492753623188406
222	3zt2	6	0.014084507042253521
222	5tmn	7	0.013888888888888888
222	3uo4	8	0.012987012987012988
222	3arv	9	0.01282051282051282
222	4twp	10	0.010309278350515464
222	3ebp	11	0.010309278350515464
222	3ivg	12	0.009900990099009901
